Layer,Name,GEOID,Longitude,Latitude,HCSDIAP_2016-2018,VRDIAR_2015-2019,VRDIBR_2015-2019,VRCAR_2015-2019,VRADR_2015-2019,HCSHYTP_2016-2018,HCSOBP_2016-2018,VRCHDR_2015-2019,HCSPAP_2016-2018,HCSSP_2016-2018,HCSRCP_2016-2018,HCSSMKP_2016-2018,HCSBDP_2016-2018,HCSFVP_2016-2018,HCSFVAP_2016-2018,LFA_2019,PMC_2020,UNS_2015-2019,HDX_2015-2019,VRLE_2019,HCSNCP_2016-2018,VRBWP_2013-2017,HCSOHSP_2016-2018,INC_2015-2019,POV_2015-2019,SNP_2015-2019,TNF_2015-2019,EDB_2015-2019,EDE_2015-2019,PCT-F_2015-2019,PCT-W_2015-2019,PCT-B_2015-2019,PCT-A_2015-2019,PCT-H_2015-2019,POP_2015-2019,POP-I_2015-2019,POP-J_2015-2019,POP-Y_2015-2019,POP-O_2015-2019,POP-S_2015-2019
Community area,South Deering,51,-87.570058,41.690639,19.7,31.5,68.9,213.1,25.1,46.1,40.8,89.6,34.9,36.4,89.5,29.2,15.9,20,51.1,70.77016933,9.341557381,8.142822578,94.26360474,73.97456952,80.7,10.7,82.5,31576.25799,38.26963916,41.04695986,5.273044131,75.2108216,12.64847148,55.30157154,4.793742445,55.1446667,0.000422898,39.8075285,15488.0447,875.142707,3431.65827,4587.381896,4158.850851,2435.010973
Community area,East Side,52,-87.534907,41.707306,,34.9,79.1,186,30.2,12.7,31,99.6,29.6,49.4,68.5,18.3,23.4,27.9,71,23.52764481,9.251348273,10.42078283,84.75515182,78.25126976,78.2,7.5,78.3,53702.85001,17.91975221,31.13433631,4.085205613,68.01302974,11.57813243,50.28382893,12.29996541,4.483689686,0.398133966,82.69896438,23448.75298,1611.411715,5427.004133,6958.178538,6850.556912,2601.601682
Community area,West Pullman,53,-87.635745,41.67382,12.5,34.1,70.1,217.2,32.6,28,45,115.2,42.9,41.8,83.4,19.2,20.1,17.1,57.1,63.66904482,9.468822826,8.621425128,82.58626122,70.46329309,77.8,12.8,70.6,47004.93067,22.40858195,31.43023561,4.780024169,86.04735055,18.18470859,53.6343084,0.818625771,92.1451828,1.44E-05,5.181751152,26700.34413,1868.847832,4724.959416,7741.832925,8109.136017,4255.567943
Community area,Riverdale,54,-87.602849,41.660137,,73.6,134.2,200.3,19.5,,24.1,122.8,34.4,,95.7,32.8,,,64.4,99.84786047,9.417760409,7.904578654,98.57934041,67.96491219,65.2,13.4,90.5,16500.62827,53.85968225,61.35968202,7.754771216,84.11274809,5.989365641,64.84111401,1.537936589,95.28294868,0.223453161,2.95240697,7325.656375,953.453814,2066.081496,2462.058485,1487.937343,356.125237
Community area,Hegewisch,55,-87.556803,41.668188,15.5,22.9,46.8,170.3,28.3,33.5,49.9,71.6,33.1,38.8,82.3,27.2,,27.1,76.5,30.8941741,9.323610057,9.819302443,61.6935105,77.24116532,84.3,8.1,57.5,58217.77172,16.79079736,17.2053808,7.104278315,84.53446426,16.49613533,48.89553216,34.93027818,4.392216385,0.000660079,60.47007549,9003.049938,417.320275,1417.013193,2505.019082,2981.134304,1682.563084
Community area,Garfield Ridge,56,-87.764246,41.796185,18.5,15.1,43.4,177.6,31.7,32.3,37.3,111.3,27.3,39.8,79.7,10.6,28,27.3,74.1,47.73698889,9.687695538,8.101100955,59.95636874,79.93879694,89.1,5.8,81.1,80226.40713,8.46991025,10.50052581,2.63451045,82.37571508,20.67974413,49.60123431,39.07292285,7.514129037,1.615995433,51.13147879,37113.7674,2328.270274,6641.405443,10204.82302,12135.5501,5803.718563
Community area,Archer Heights,57,-87.726365,41.810873,,33.8,69.7,131,21.3,33.7,55.4,70.8,44.5,19.9,83.5,,,,58.8,0.584612868,9.62602809,10.23939081,84.77383277,78.87876571,86.4,6.1,71.5,56529.16783,14.12795579,16.43629603,2.69031016,68.82374139,14.51152755,50.14899332,15.98937237,0.427391381,7.404560158,75.69577247,13816.24924,1173.316512,2974.524366,4357.983833,3552.001759,1758.422767
Community area,Brighton Park,58,-87.698859,41.817364,11.1,28.3,61,170,15.1,15.8,32.9,88.5,35.8,36.5,75.1,16.5,28.2,23.3,56.7,17.58868567,9.575916638,17.87502115,89.24071358,79.71775618,73.1,8.7,81.6,44738.48385,23.72316803,23.00336597,3.31812086,66.1704079,10.74979079,48.37839485,6.324516828,1.519277241,11.58692924,79.70677873,44347.37761,3027.077778,9565.917857,15449.63745,12056.89579,4247.848738
Community area,McKinley Park,59,-87.6725,41.829927,,14.7,41.5,158.8,18,32.7,20.1,83,24,25.9,78.2,17.4,25.9,25.7,84.3,3.393832637,9.514358398,12.51767312,77.56539472,80.42554489,89.9,6.5,88.5,53794.80877,19.2263801,18.99670407,2.354456627,73.16132207,21.65928373,49.8373103,16.82280511,1.56970207,26.71446146,54.15496223,15188.12425,1024.842868,2384.82521,4941.678255,5138.571341,1698.206576
Community area,Lake View,6,-87.656001,41.944236,6.6,14.7,40.9,143.8,19.6,30.7,17.8,86.9,14.1,11.5,75.6,13.6,39.8,39.5,82.9,5.19481248,9.194502871,3.933201746,3.76950203,82.45354208,85.7,6.9,90.5,113358.3946,7.920006136,3.185926113,0.872342957,97.35196404,81.32041661,48.94068592,77.91251,3.6326966,6.969005403,8.753165212,90172.37814,5218.255961,6005.672271,53598.18494,18644.95403,6705.310937
