Layer,Name,GEOID,Population,Longitude,Latitude,LFA_2019,VRDIBR_2015-2019,VRDIAR_2015-2019,VRDTH_2015-2019,VRCAR_2015-2019,VRADR_2015-2019,POP_2015-2019,POP-I_2015-2019,POP-J_2015-2019,POP-Y_2015-2019,POP-O_2015-2019,POP-S_2015-2019,INC_2015-2019,POV_2015-2019,HDX_2015-2019
Community area,Montclare,18,"14,412",-87.79803300,41.92930600,0.08,59.0,20.9,612,191.3,37.4,"14,305","1,047","2,102","4,347","4,384","2,425","$54,793",11.69,59.7
Community area,Avondale,21,"36,245",-87.71121900,41.93867300,0.01,47.6,20.5,817,130.2,24.0,"38,127","2,380","5,494","16,410","10,158","3,685","$72,203",14.32,50.0
Community area,Lake View,6,"91,836",-87.65600100,41.94423600,5.19,40.9,14.7,"1,862",143.8,19.6,"90,172","5,218","6,006","53,598","18,645","6,705","$113,358",7.92,3.8
Community area,Dunning,17,"43,120",-87.80601500,41.94652200,47.36,47.3,16.2,"1,909",176.8,29.2,"43,401","2,385","6,502","11,727","15,143","7,644","$75,256",6.96,36.4
Community area,North Center,5,"35,150",-87.68383900,41.94781100,15.90,39.4,20.2,585,144.3,28.7,"35,603","3,121","6,033","12,963","10,569","2,916","$130,550",5.29,5.1
Community area,Irving Park,16,"51,911",-87.72345700,41.95358900,15.22,50.8,25.0,"1,473",155.5,31.2,"53,468","3,462","7,145","19,401","17,820","5,640","$79,563",8.70,32.3
Community area,Portage Park,15,"63,038",-87.76340100,41.95404300,24.83,47.3,24.2,"2,103",161.0,22.7,"64,579","3,617","10,044","19,847","22,792","8,278","$74,227",9.40,48.1
Community area,Uptown,3,"52,255",-87.65589900,41.96582200,0.02,75.2,31.7,"2,393",173.9,24.1,"53,663","2,274","4,644","23,801","16,733","6,212","$65,737",17.67,29.6
Community area,Albany Park,14,"48,549",-87.72155800,41.96807800,3.90,67.2,23.5,"1,288",152.3,21.6,"49,942","3,121","8,063","19,084","14,613","5,060","$68,435",14.34,59.7
Community area,Lincoln Square,4,"40,412",-87.68751300,41.97518200,7.90,56.7,31.0,973,158.8,12.7,"42,034","3,240","3,883","18,126","12,874","3,912","$90,457",8.16,18.2
Community area,O'Hare,76,"14,416",-87.89369900,41.97569600,75.77,35.5,14.9,433,180.8,10.6,"15,655","1,160","1,616","5,802","4,711","2,366","$62,773",13.29,58.9
Community area,Jefferson Park,11,"26,201",-87.77116500,41.97883600,9.39,37.9,11.0,"1,047",169.1,15.1,"27,475","1,706","3,914","8,049","9,402","4,404","$82,187",9.81,38.3
Community area,North Park,13,"17,522",-87.72357800,41.98365100,76.78,62.2,27.4,796,133.3,16.3,"18,897","1,432","2,841","5,489","5,390","3,744","$63,921",11.33,50.4
Community area,Norwood Park,10,"41,109",-87.80345100,41.98524800,57.98,48.2,18.1,"2,185",169.0,36.0,"38,676","2,369","5,267","10,340","13,210","7,491","$88,796",6.70,22.1
Community area,Edgewater,77,"47,343",-87.66341900,41.98671900,0.00,50.6,19.1,"1,911",158.7,18.5,"48,691","1,877","3,499","20,119","15,648","7,547","$71,991",13.15,26.8
Community area,Forest Glen,12,"19,579",-87.75835800,41.99393800,17.52,27.5,5.6,707,142.8,22.1,"19,362","1,301","3,603","4,135","6,765","3,557","$134,527",4.41,16.7
Community area,West Ridge,2,"77,139",-87.69501700,42.00158300,9.33,61.9,29.7,"2,544",158.4,21.2,"78,444","6,719","13,896","23,426","23,949","10,454","$65,003",19.52,71.5
Community area,Edison Park,9,"11,521",-87.81378000,42.00762700,26.39,23.5,6.8,439,117.1,15.2,"11,255",825,"1,591","2,881","4,121","1,837","$111,770",3.51,6.4
Community area,Rogers Park,1,"52,772",-87.67017100,42.00963000,5.68,78.6,29.3,"1,913",186.2,25.2,"52,553","3,124","6,678","21,570","16,430","4,750","$46,315",24.93,61.6
